pairnum,sex,zygosity,moed,faed,faminc,english,math,socsci,natsci,vocab,even
51,2,1,4,5,4,23,21,26,23,25,TRUE
52,2,1,4,3,2,17,20,18,14,18,FALSE
52,2,1,4,3,2,19,18,19,21,19,TRUE
53,1,2,4,4,3,19,22,26,16,20,FALSE
53,1,2,4,4,3,24,26,19,16,21,TRUE
54,2,2,3,5,6,28,22,25,26,20,FALSE
54,2,2,3,5,6,24,27,22,27,22,TRUE
55,2,1,5,5,4,14,11,25,23,30,FALSE
55,2,1,5,5,4,20,11,26,18,32,TRUE
56,2,1,4,3,7,18,26,21,23,19,FALSE
56,2,1,4,3,7,17,23,21,26,20,TRUE
57,1,2,6,4,4,24,30,25,29,26,FALSE
57,1,2,6,4,4,25,32,29,29,31,TRUE
58,1,1,4,4,4,22,22,24,24,22,FALSE
58,1,1,4,4,4,22,26,23,23,22,TRUE
59,2,1,4,4,5,25,20,24,21,20,FALSE
59,2,1,4,4,5,25,26,29,25,23,TRUE
60,1,2,4,5,4,23,27,18,16,21,FALSE
60,1,2,4,5,4,18,21,12,10,14,TRUE
61,1,2,6,5,7,27,34,30,29,32,FALSE
61,1,2,6,5,7,28,34,31,30,31,TRUE
62,2,1,3,5,1,25,24,29,19,29,FALSE
62,2,1,3,5,1,26,24,27,28,29,TRUE
63,2,1,4,4,4,23,28,25,23,21,FALSE
63,2,1,4,4,4,26,26,24,22,24,TRUE
64,1,1,2,1,2,14,26,21,20,21,FALSE
64,1,1,2,1,2,13,20,21,12,19,TRUE
65,2,2,5,6,3,19,28,18,21,21,FALSE
65,2,2,5,6,3,26,29,25,24,24,TRUE
66,1,1,2,1,1,14,21,15,17,13,FALSE
66,1,1,2,1,1,18,20,18,16,16,TRUE
67,1,1,4,5,3,22,21,25,22,22,FALSE
67,1,1,4,5,3,21,23,22,20,28,TRUE
68,1,1,1,1,1,15,14,14,16,14,FALSE
68,1,1,1,1,1,15,14,18,17,15,TRUE
69,2,1,3,3,5,20,20,21,19,21,FALSE
69,2,1,3,3,5,21,25,20,23,23,TRUE
70,2,1,5,4,3,20,19,24,18,21,FALSE
70,2,1,5,4,3,19,11,17,21,20,TRUE
71,2,2,2,1,2,17,11,11,16,13,FALSE
71,2,2,2,1,2,14,17,15,20,18,TRUE
72,2,1,4,4,3,17,13,15,18,17,FALSE
72,2,1,4,4,3,16,12,17,18,17,TRUE
73,1,1,3,4,4,11,6,17,8,16,FALSE
73,1,1,3,4,4,15,12,17,21,17,TRUE
74,2,2,5,5,5,12,12,13,18,18,FALSE
74,2,2,5,5,5,18,13,18,18,20,TRUE
75,2,2,5,4,4,21,20,18,24,16,FALSE
75,2,2,5,4,4,20,21,14,16,17,TRUE
76,1,1,4,5,2,16,25,21,21,18,FALSE
76,1,1,4,5,2,15,18,16,21,17,TRUE
77,2,1,3,3,3,24,19,24,23,23,FALSE
77,2,1,3,3,3,23,19,26,23,27,TRUE
78,1,2,4,3,4,16,19,20,9,22,FALSE
78,1,2,4,3,4,14,21,18,19,18,TRUE
79,2,2,5,5,5,26,33,25,29,25,FALSE
79,2,2,5,5,5,27,34,29,31,25,TRUE
80,2,1,3,3,4,20,20,19,21,21,FALSE
80,2,1,3,3,4,24,20,21,21,21,TRUE
81,1,1,3,4,4,20,18,25,15,25,FALSE
81,1,1,3,4,4,13,13,16,12,22,TRUE
82,2,1,3,2,2,21,20,15,19,17,FALSE
82,2,1,3,2,2,15,28,17,23,14,TRUE
83,2,1,3,3,7,27,15,25,23,27,FALSE
83,2,1,3,3,7,23,19,27,23,28,TRUE
84,1,1,6,5,7,30,34,29,31,32,FALSE
84,1,1,6,5,7,30,34,32,33,32,TRUE
85,1,1,4,4,4,21,11,26,20,22,FALSE
85,1,1,4,4,4,24,27,26,29,23,TRUE
86,2,2,3,5,3,28,20,24,25,23,FALSE
86,2,2,3,5,3,24,25,28,25,27,TRUE
87,2,1,5,6,4,19,29,20,18,24,FALSE
87,2,1,5,6,4,22,25,24,21,24,TRUE
88,2,1,5,6,2,30,32,31,30,28,FALSE
88,2,1,5,6,2,30,27,31,28,29,TRUE
89,2,2,4,5,5,23,20,22,24,25,FALSE
89,2,2,4,5,5,21,18,17,15,18,TRUE
90,2,1,4,5,3,25,18,20,23,19,FALSE
90,2,1,4,5,3,24,23,23,20,20,TRUE
91,2,1,3,3,4,21,24,23,28,25,FALSE
91,2,1,3,3,4,22,26,28,29,28,TRUE
92,2,2,5,5,3,14,22,20,10,22,FALSE
92,2,2,5,5,3,22,17,21,14,23,TRUE
93,2,2,3,6,6,20,25,26,23,22,FALSE
93,2,2,3,6,6,21,18,19,15,18,TRUE
94,1,2,4,1,2,25,23,21,27,22,FALSE
94,1,2,4,1,2,20,12,16,21,21,TRUE
95,2,2,4,5,4,25,27,18,21,23,FALSE
95,2,2,4,5,4,24,21,26,25,26,TRUE
96,2,1,5,5,5,23,28,26,25,28,FALSE
96,2,1,5,5,5,24,31,24,26,27,TRUE
97,2,2,3,4,3,27,24,28,28,25,FALSE
97,2,2,3,4,3,30,23,31,28,31,TRUE
98,2,1,4,6,5,26,24,32,26,28,FALSE
98,2,1,4,6,5,25,29,32,22,30,TRUE
99,1,2,3,5,4,19,28,25,25,24,FALSE
99,1,2,3,5,4,25,33,28,27,23,TRUE
100,2,1,4,3,4,22,20,19,13,12,FALSE
100,2,1,4,3,4,20,22,18,20,17,TRUE
101,2,1,1,2,2,19,17,18,20,14,FALSE
101,2,1,1,2,2,17,18,19,19,16,TRUE
102,2,2,5,6,4,19,20,18,22,22,FALSE
102,2,2,5,6,4,24,23,21,24,23,TRUE
103,1,2,4,5,5,20,30,22,22,24,FALSE
103,1,2,4,5,5,24,32,23,21,27,TRUE
104,1,1,3,4,4,29,35,30,31,28,FALSE
104,1,1,3,4,4,30,30,29,28,30,TRUE
105,2,2,5,4,2,24,20,26,20,28,FALSE
105,2,2,5,4,2,17,25,16,12,19,TRUE
106,1,1,3,3,4,17,20,19,19,19,FALSE
106,1,1,3,3,4,16,22,18,18,21,TRUE
107,2,1,2,1,2,18,12,17,12,18,FALSE
107,2,1,2,1,2,17,18,20,21,20,TRUE
108,1,1,3,4,3,13,17,13,12,15,FALSE
108,1,1,3,4,3,11,19,12,21,11,TRUE
109,2,1,1,1,2,22,23,21,14,27,FALSE
109,2,1,1,1,2,24,25,23,23,30,TRUE
110,1,2,5,3,4,19,20,27,22,25,FALSE
110,1,2,5,3,4,18,17,18,18,22,TRUE
111,2,2,3,5,3,26,28,24,25,26,FALSE
111,2,2,3,5,3,28,25,25,26,28,TRUE
112,2,2,3,5,3,20,24,23,22,23,FALSE
112,2,2,3,5,3,25,25,25,20,28,TRUE
113,2,1,5,6,4,24,24,24,24,28,FALSE
113,2,1,5,6,4,22,29,27,28,25,TRUE
114,1,1,3,3,1,14,14,12,13,10,FALSE
114,1,1,3,3,1,14,14,18,15,16,TRUE
115,1,1,4,2,3,19,12,26,20,26,FALSE
115,1,1,4,2,3,21,24,28,21,27,TRUE
116,1,1,1,1,1,16,23,24,26,16,FALSE
116,1,1,1,1,1,16,20,21,25,14,TRUE
117,2,1,6,5,7,15,14,14,23,15,FALSE
117,2,1,6,5,7,16,16,17,24,17,TRUE
118,1,2,4,5,4,21,27,23,28,23,FALSE
118,1,2,4,5,4,26,33,25,30,26,TRUE
119,2,2,4,5,4,27,13,23,18,21,FALSE
119,2,2,4,5,4,20,16,20,16,25,TRUE
120,2,1,6,6,7,30,26,31,27,32,FALSE
120,2,1,6,6,7,30,25,29,20,31,TRUE
121,1,1,3,3,2,19,31,27,27,25,FALSE
121,1,1,3,3,2,22,31,26,31,25,TRUE
122,2,2,6,6,4,26,24,23,23,23,FALSE
122,2,2,6,6,4,24,27,23,25,24,TRUE
123,2,1,5,6,3,27,17,27,22,28,FALSE
123,2,1,5,6,3,28,21,22,21,30,TRUE
124,1,2,3,3,2,18,25,17,26,18,FALSE
124,1,2,3,3,2,23,27,25,27,26,TRUE
125,2,1,5,3,4,30,25,22,22,24,FALSE
125,2,1,5,3,4,30,25,23,22,25,TRUE
126,1,2,1,1,3,28,21,26,26,26,FALSE
126,1,2,1,1,3,24,24,32,27,28,TRUE
127,2,1,5,3,3,26,28,21,29,23,FALSE
127,2,1,5,3,3,26,28,28,28,29,TRUE
128,1,1,6,4,3,25,25,25,25,27,FALSE
128,1,1,6,4,3,27,29,28,27,27,TRUE
129,2,1,3,2,1,12,11,20,14,20,FALSE
129,2,1,3,2,1,16,7,24,14,24,TRUE
130,2,2,4,6,7,19,19,13,18,18,FALSE
130,2,2,4,6,7,15,20,19,21,19,TRUE
131,2,1,1,2,4,28,29,28,29,27,FALSE
131,2,1,1,2,4,31,34,30,29,30,TRUE
132,2,1,3,4,4,28,28,26,25,27,FALSE
132,2,1,3,4,4,30,29,26,25,28,TRUE
133,1,1,3,4,5,25,30,24,26,22,FALSE
133,1,1,3,4,5,23,31,25,27,24,TRUE
134,2,2,4,4,4,15,18,10,18,15,FALSE
134,2,2,4,4,4,18,18,16,9,17,TRUE
135,1,1,2,1,2,23,24,23,24,22,FALSE
135,1,1,2,1,2,22,27,27,26,23,TRUE
136,1,1,4,6,3,21,22,24,21,24,FALSE
136,1,1,4,6,3,25,30,25,22,20,TRUE
137,2,2,5,4,5,21,18,23,21,16,FALSE
137,2,2,5,4,5,25,32,21,25,22,TRUE
138,1,1,3,3,4,14,23,17,16,10,FALSE
138,1,1,3,3,4,17,22,15,13,15,TRUE
139,2,1,1,1,2,22,12,25,18,22,FALSE
139,2,1,1,1,2,20,10,21,22,22,TRUE
140,2,1,1,1,1,24,23,23,23,21,FALSE
140,2,1,1,1,1,24,27,24,25,24,TRUE
141,2,2,1,2,1,18,17,15,12,12,FALSE
141,2,2,1,2,1,20,18,16,14,14,TRUE
142,2,1,3,3,3,19,17,16,13,14,FALSE
142,2,1,3,3,3,23,16,18,15,17,TRUE
143,2,2,3,1,2,17,13,13,10,17,FALSE
143,2,2,3,1,2,21,7,16,16,18,TRUE
144,2,2,3,1,2,17,11,15,16,16,FALSE
144,2,2,3,1,2,13,17,19,19,14,TRUE
145,2,1,4,5,3,22,22,21,22,22,FALSE
145,2,1,4,5,3,20,23,24,22,24,TRUE
146,2,2,2,1,1,22,11,21,12,17,FALSE
146,2,2,2,1,1,17,17,17,17,18,TRUE
147,1,1,6,5,2,22,26,23,24,27,FALSE
147,1,1,6,5,2,11,20,21,18,21,TRUE
148,1,1,5,6,4,18,23,24,21,23,FALSE
148,1,1,5,6,4,23,30,22,24,25,TRUE
149,1,2,3,1,3,20,26,20,18,17,FALSE
149,1,2,3,1,3,19,20,16,21,18,TRUE
150,1,1,6,2,4,20,24,16,23,19,FALSE
150,1,1,6,2,4,24,25,17,26,22,TRUE
151,2,1,5,3,4,26,29,22,23,24,FALSE
151,2,1,5,3,4,19,17,21,23,22,TRUE
152,2,1,6,4,3,26,17,25,10,29,FALSE
152,2,1,6,4,3,22,22,22,15,25,TRUE
153,2,1,2,4,3,19,19,17,19,19,FALSE
153,2,1,2,4,3,17,20,18,21,19,TRUE
154,2,2,3,1,3,26,24,29,27,28,FALSE
154,2,2,3,1,3,12,4,15,17,18,TRUE
155,2,1,3,2,2,25,25,24,25,25,FALSE
155,2,1,3,2,2,25,22,21,21,25,TRUE
156,2,1,5,3,5,27,19,23,24,20,FALSE
156,2,1,5,3,5,29,32,27,27,22,TRUE
157,2,1,3,3,2,24,22,14,18,21,FALSE
157,2,1,3,3,2,22,14,16,20,23,TRUE
158,2,2,3,6,4,21,19,19,18,23,FALSE
158,2,2,3,6,4,24,19,25,24,24,TRUE
159,2,1,2,3,2,22,24,20,20,20,FALSE
159,2,1,2,3,2,24,30,24,25,24,TRUE
160,2,2,2,2,1,27,20,23,16,26,FALSE
160,2,2,2,2,1,25,20,23,21,25,TRUE
161,1,1,5,3,2,21,31,20,21,22,FALSE
161,1,1,5,3,2,17,31,19,25,18,TRUE
162,1,2,3,3,2,20,29,25,26,26,FALSE
162,1,2,3,3,2,15,14,17,16,21,TRUE
163,2,1,2,2,4,24,22,19,18,21,FALSE
163,2,1,2,2,4,22,20,18,12,21,TRUE
164,1,2,2,2,3,24,30,28,25,27,FALSE
164,1,2,2,2,3,19,20,17,20,20,TRUE
165,1,1,3,5,3,17,24,16,22,21,FALSE
165,1,1,3,5,3,21,22,19,20,22,TRUE
166,1,2,5,3,2,14,14,13,14,14,FALSE
166,1,2,5,3,2,10,19,13,6,13,TRUE
167,2,1,3,3,2,21,26,21,21,15,FALSE
167,2,1,3,3,2,21,15,18,17,17,TRUE
168,1,1,3,5,4,24,32,25,27,23,FALSE
168,1,1,3,5,4,26,34,29,26,24,TRUE
169,2,2,4,6,5,26,20,22,20,24,FALSE
169,2,2,4,6,5,28,19,22,19,25,TRUE
170,2,2,3,2,4,17,17,26,23,24,FALSE
170,2,2,3,2,4,13,18,18,22,19,TRUE
171,1,1,3,3,2,9,17,16,21,16,FALSE
171,1,1,3,3,2,12,17,13,6,12,TRUE
172,1,2,3,3,3,24,28,25,26,24,FALSE
172,1,2,3,3,3,21,25,25,20,22,TRUE
173,1,2,3,3,3,19,28,20,18,20,FALSE
173,1,2,3,3,3,17,25,19,17,12,TRUE
174,2,1,4,4,3,22,28,28,21,25,FALSE
174,2,1,4,4,3,21,30,28,29,19,TRUE
175,2,1,3,3,2,24,23,24,26,20,FALSE
175,2,1,3,3,2,22,21,21,19,22,TRUE
176,1,1,4,6,1,27,34,26,26,28,FALSE
176,1,1,4,6,1,27,24,21,25,23,TRUE
177,1,1,3,1,2,16,18,7,17,15,FALSE
177,1,1,3,1,2,11,17,14,12,14,TRUE
178,2,1,4,6,3,20,20,18,21,19,FALSE
178,2,1,4,6,3,17,19,15,16,19,TRUE
179,2,1,3,2,3,21,16,12,11,18,FALSE
179,2,1,3,2,3,21,14,18,15,17,TRUE
180,1,1,4,5,4,19,22,24,24,30,FALSE
180,1,1,4,5,4,22,32,27,29,30,TRUE
181,2,1,2,3,3,22,28,22,25,24,FALSE
181,2,1,2,3,3,23,28,25,27,24,TRUE
182,2,1,4,5,4,13,12,14,20,14,FALSE
182,2,1,4,5,4,14,10,19,14,16,TRUE
183,1,1,4,3,2,11,12,13,16,17,FALSE
183,1,1,4,3,2,10,11,15,13,14,TRUE
184,2,1,4,3,3,18,15,20,22,19,FALSE
184,2,1,4,3,3,19,15,21,20,14,TRUE
185,1,2,3,3,4,11,11,15,9,15,FALSE
185,1,2,3,3,4,21,19,19,14,18,TRUE
186,2,1,3,5,4,23,15,21,12,27,FALSE
186,2,1,3,5,4,21,15,21,13,24,TRUE
187,2,2,4,1,2,24,24,20,24,24,FALSE
187,2,2,4,1,2,22,24,22,23,22,TRUE
188,2,1,5,5,4,21,16,21,16,19,FALSE
188,2,1,5,5,4,16,14,19,18,19,TRUE
189,2,2,3,3,3,27,28,27,27,30,FALSE
189,2,2,3,3,3,21,21,24,19,25,TRUE
190,1,2,3,4,3,20,25,21,23,22,FALSE
190,1,2,3,4,3,17,19,20,17,22,TRUE
191,1,1,1,2,2,19,28,24,20,24,FALSE
191,1,1,1,2,2,16,23,22,18,21,TRUE
192,2,2,3,3,1,23,13,23,19,23,FALSE
192,2,2,3,3,1,20,7,19,12,21,TRUE
193,2,2,3,4,3,30,21,25,25,29,FALSE
193,2,2,3,4,3,24,19,23,23,29,TRUE
194,1,1,4,5,5,23,34,29,29,29,FALSE
194,1,1,4,5,5,24,32,29,28,30,TRUE
195,1,1,4,4,6,20,13,25,12,25,FALSE
195,1,1,4,4,6,9,16,19,10,21,TRUE
196,1,2,3,6,4,23,29,26,29,29,FALSE
196,1,2,3,6,4,27,32,24,27,24,TRUE
197,2,1,5,6,6,18,18,23,20,23,FALSE
197,2,1,5,6,6,21,22,23,19,23,TRUE
198,1,1,3,4,4,18,14,17,20,18,FALSE
198,1,1,3,4,4,15,19,20,15,18,TRUE
199,2,1,3,3,2,17,12,19,18,15,FALSE
199,2,1,3,3,2,21,12,18,14,18,TRUE
200,2,2,5,5,4,19,14,17,15,19,FALSE
200,2,2,5,5,4,19,16,23,8,24,TRUE
201,2,2,5,5,5,24,11,18,13,19,FALSE
201,2,2,5,5,5,25,20,14,17,18,TRUE
202,1,2,5,6,6,23,26,20,19,24,FALSE
202,1,2,5,6,6,26,33,28,27,26,TRUE
203,2,1,2,2,3,20,26,26,18,25,FALSE
203,2,1,2,2,3,21,28,26,24,26,TRUE
204,2,1,3,3,3,19,26,27,21,26,FALSE
204,2,1,3,3,3,22,23,30,18,28,TRUE
205,2,2,2,3,2,22,29,20,18,19,FALSE
205,2,2,2,3,2,22,19,19,15,18,TRUE
206,2,1,4,3,4,7,4,9,8,14,FALSE
206,2,1,4,3,4,17,12,10,12,17,TRUE
207,2,2,3,4,7,19,20,13,17,18,FALSE
207,2,2,3,4,7,15,23,17,18,21,TRUE
208,2,1,4,6,6,26,31,20,16,21,FALSE
208,2,1,4,6,6,22,30,23,25,22,TRUE
209,2,2,5,5,4,19,26,19,23,17,FALSE
209,2,2,5,5,4,15,21,16,21,14,TRUE
210,2,1,6,6,7,16,10,22,11,19,FALSE
210,2,1,6,6,7,14,14,20,14,22,TRUE
211,1,2,4,2,1,25,28,23,28,22,FALSE
211,1,2,4,2,1,25,28,28,29,22,TRUE
212,2,1,5,6,4,26,22,26,26,27,FALSE
212,2,1,5,6,4,23,26,24,25,29,TRUE
213,2,1,4,4,2,25,28,23,27,23,FALSE
213,2,1,4,4,2,27,32,23,23,22,TRUE
214,2,2,2,4,2,16,5,21,13,17,FALSE
214,2,2,2,4,2,17,13,18,14,18,TRUE
215,2,1,4,3,7,17,18,16,21,16,FALSE
215,2,1,4,3,7,17,14,20,23,19,TRUE
216,1,1,3,4,3,14,21,15,23,17,FALSE
216,1,1,3,4,3,19,22,19,21,16,TRUE
217,2,1,4,6,6,20,25,15,23,20,FALSE
217,2,1,4,6,6,20,25,17,26,25,TRUE
218,2,2,3,6,2,25,31,26,28,23,FALSE
218,2,2,3,6,2,27,33,24,29,24,TRUE
219,1,1,3,1,3,20,27,18,21,19,FALSE
219,1,1,3,1,3,21,28,16,23,21,TRUE
220,1,2,3,3,3,25,22,18,23,22,FALSE
220,1,2,3,3,3,23,25,26,23,22,TRUE
221,2,2,4,6,3,13,14,16,11,19,FALSE
221,2,2,4,6,3,17,12,18,15,16,TRUE
222,2,1,4,4,5,21,22,21,17,22,FALSE
222,2,1,4,4,5,27,22,17,15,24,TRUE
223,2,1,4,6,3,21,23,22,23,23,FALSE
223,2,1,4,6,3,25,21,23,25,20,TRUE
224,1,2,4,3,2,23,20,21,24,20,FALSE
224,1,2,4,3,2,26,25,22,21,24,TRUE
225,2,1,2,1,2,12,20,15,17,12,FALSE
225,2,1,2,1,2,15,18,14,17,13,TRUE
226,1,2,2,3,2,26,33,24,28,24,FALSE
226,1,2,2,3,2,24,30,31,26,27,TRUE
227,1,1,4,3,2,20,29,23,29,24,FALSE
227,1,1,4,3,2,21,30,26,25,25,TRUE
228,2,2,3,3,3,22,10,23,17,20,FALSE
228,2,2,3,3,3,21,17,18,20,19,TRUE
229,1,1,4,4,3,17,27,19,21,16,FALSE
229,1,1,4,4,3,19,23,22,23,19,TRUE
230,2,2,4,3,2,18,14,15,12,14,FALSE
230,2,2,4,3,2,17,20,19,21,14,TRUE
231,1,1,3,1,2,10,20,24,22,19,FALSE
231,1,1,3,1,2,18,17,19,22,20,TRUE
232,1,1,4,1,3,16,18,14,11,22,FALSE
232,1,1,4,1,3,13,14,22,17,24,TRUE
233,2,1,1,4,3,22,21,22,24,24,FALSE
233,2,1,1,4,3,25,16,25,26,27,TRUE
234,1,2,4,1,1,19,32,16,24,13,FALSE
234,1,2,4,1,1,21,33,27,28,25,TRUE
235,2,1,4,2,1,16,20,23,23,21,FALSE
235,2,1,4,2,1,20,16,19,15,21,TRUE
236,1,2,3,3,3,6,8,11,11,15,FALSE
236,1,2,3,3,3,5,11,13,4,12,TRUE
237,2,2,3,3,2,16,16,17,14,17,FALSE
237,2,2,3,3,2,20,20,19,14,20,TRUE
238,2,2,3,2,2,18,13,19,11,21,FALSE
238,2,2,3,2,2,18,17,15,23,19,TRUE
239,2,1,3,3,3,19,11,19,12,14,FALSE
239,2,1,3,3,3,18,20,21,16,14,TRUE
240,1,2,2,3,2,20,22,22,25,21,FALSE
240,1,2,2,3,2,17,20,21,21,16,TRUE
241,1,2,5,3,3,22,26,20,21,16,FALSE
241,1,2,5,3,3,25,25,21,23,18,TRUE
242,1,1,5,5,3,23,34,32,30,29,FALSE
242,1,1,5,5,3,27,34,32,30,29,TRUE
243,1,2,1,1,2,22,28,21,26,22,FALSE
243,1,2,1,1,2,17,20,11,14,19,TRUE
244,1,1,4,5,5,25,32,29,29,24,FALSE
244,1,1,4,5,5,27,32,30,27,30,TRUE
245,1,1,4,5,4,15,23,25,19,28,FALSE
245,1,1,4,5,4,18,29,21,24,24,TRUE
246,2,2,5,3,2,20,20,20,26,18,FALSE
246,2,2,5,3,2,19,20,15,24,19,TRUE
247,2,2,6,2,4,14,14,16,11,16,FALSE
247,2,2,6,2,4,14,20,17,18,19,TRUE
248,2,1,3,6,3,21,25,20,23,24,FALSE
248,2,1,3,6,3,23,32,24,27,23,TRUE
249,2,2,3,1,3,23,20,21,18,21,FALSE
249,2,2,3,1,3,13,10,16,18,17,TRUE
250,2,2,3,3,2,19,18,20,21,20,FALSE
250,2,2,3,3,2,20,25,20,20,22,TRUE
251,2,2,4,4,4,17,26,22,23,21,FALSE
251,2,2,4,4,4,6,16,13,15,14,TRUE
252,1,1,5,6,6,20,30,22,25,20,FALSE
252,1,1,5,6,6,21,29,24,25,21,TRUE
253,1,1,3,4,4,20,24,23,23,18,FALSE
253,1,1,3,4,4,23,24,23,26,18,TRUE
254,2,2,5,4,3,16,26,13,19,17,FALSE
254,2,2,5,4,3,22,24,14,20,17,TRUE
255,2,1,3,3,3,16,18,16,15,10,FALSE
255,2,1,3,3,3,16,21,17,12,15,TRUE
256,2,1,3,4,2,25,17,20,25,24,FALSE
256,2,1,3,4,2,22,23,22,25,21,TRUE
257,1,1,3,2,2,15,11,12,9,14,FALSE
257,1,1,3,2,2,16,16,17,18,12,TRUE
258,1,1,3,1,1,20,20,21,21,22,FALSE
